salt,week,date,id,temp_f,mmhg,do_%,do_mg/l,pH,sal-ppt,notes,treatment
N,1,2/7/2024,1,66.9,763.6,98.1,9.03,8.64,0.12,,cd_low
N,1,2/7/2024,2,66.6,763.6,95.5,8.8,8.54,0.12,,pfas_low
N,1,2/7/2024,3,67,763.5,98,9.01,8.59,0.12,,cd_high
N,1,2/7/2024,4,67.6,763.5,96.1,8.75,8.43,0.11,,pfas_high
N,1,2/7/2024,5,68,763.4,94.1,8.57,8.33,0.12,,cd_high
N,1,2/7/2024,6,67.5,763.4,96.8,8.85,8.55,0.12,,control
N,1,2/7/2024,7,66.7,763.4,98.7,9.13,8.55,0.12,,control
N,1,2/7/2024,8,67.5,763.4,97.9,8.98,8.5,0.12,,pfas_high
N,1,2/7/2024,9,67.4,763.4,98.8,9.04,8.55,0.13,,cd_low
N,1,2/7/2024,10,67.6,763.5,99,9.03,8.54,0.12,,pfas_high
N,1,2/7/2024,11,67,763.6,99.1,9.11,8.54,0.12,,pfas_low
N,1,2/7/2024,12,66.5,763.6,98.6,9.1,8.5,0.12,,cd_high
N,1,2/7/2024,13,67,763.6,97.1,8.9,8.39,0.12,,control
N,1,2/7/2024,14,67.3,763.5,97.8,8.96,8.46,0.12,,cd_low
N,1,2/7/2024,15,67.6,763.6,100.2,9.12,8.51,0.11,,pfas_low
N,1,2/8/2024,1,68.1,762.1,98,8.87,8.72,0.14,,cd_low
N,1,2/8/2024,2,68.1,762.1,96.3,8.72,8.58,0.12,,pfas_low
N,1,2/8/2024,3,68.1,762.1,98,8.9,8.63,0.12,,cd_high
N,1,2/8/2024,4,68.5,762,93.1,8.3,8.41,0.12,,pfas_high
N,1,2/8/2024,5,68.9,762.1,92.4,8.28,8.41,0.12,,cd_high
N,1,2/8/2024,6,68.7,761.8,94.7,8.58,8.58,0.12,Found Dead 02/12/24,control
N,1,2/8/2024,7,68.1,762,96.9,8.87,8.54,0.12,,control
N,1,2/8/2024,8,67.7,762,98.2,8.92,8.56,0.12,,pfas_high
N,1,2/8/2024,9,68,761.9,98.2,8.91,8.58,0.12,,cd_low
N,1,2/8/2024,10,68.4,761.8,99,8.93,8.57,0.13,Found Dead 02/12/24,pfas_high
N,1,2/8/2024,11,68.4,761.9,98.8,8.96,8.6,0.12,,pfas_low
N,1,2/8/2024,12,67.7,761.9,98.7,9.03,8.54,0.12,Found Dead 02/12/24,cd_high
N,1,2/8/2024,13,67.5,762,95.8,8.71,8.4,0.12,,control
N,1,2/8/2024,14,67.8,761.9,96.7,8.79,8.51,0.12,,cd_low
N,1,2/8/2024,15,68.1,761.8,98.6,8.94,8.55,0.12,,pfas_low
N,2,2/15/2024,1,67.4,766,99.8,9.18,8.79,0.15,,cd_low
N,2,2/15/2024,2,67.5,766.1,94.6,8.61,8.59,0.17,,pfas_low
N,2,2/15/2024,3,68,766,98.9,9,8.72,0.14,,cd_high
N,2,2/15/2024,4,68.3,766,95.3,8.6,8.51,0.16,Tank is growing things?,pfas_high
N,2,2/15/2024,5,69.2,766,96.1,8.62,8.55,0.16,Black tail- internal bleeding?,cd_high
N,2,2/15/2024,6,68.2,766,99.9,9.07,8.72,0.13,No fish/ replaced,control
N,2,2/15/2024,7,67.8,766,100.4,9.14,8.69,0.13,,control
N,2,2/15/2024,8,68,765.9,100,9.05,8.65,0.13,,pfas_high
N,2,2/15/2024,9,68.2,766,100,9.07,8.67,0.13,No fish/ replaced,cd_low
N,2,2/15/2024,10,68.3,766,100.8,9.11,8.7,0.15,,pfas_high
N,2,2/15/2024,11,67.9,766,100.4,9.13,8.68,0.13,,pfas_low
N,2,2/15/2024,12,66.9,766,101.1,9.3,8.69,0.13,No fish/ replaced,cd_high
N,2,2/15/2024,13,67.2,766,99.1,9.07,8.6,0.14,,control
N,2,2/15/2024,14,67.8,765.9,99.3,9.04,8.63,0.14,,cd_low
N,2,2/15/2024,15,68.1,765.8,100.6,9.12,8.67,0.13,,pfas_low
N,2,2/16/2024,1,69.6,760.3,99.5,8.9,8.47,0.12,,cd_low
N,2,2/16/2024,2,70.8,760.4,94.6,8.33,8.26,0.13,,pfas_low
N,2,2/16/2024,3,71,760.3,90.5,8.64,8.5,0.12,,cd_high
N,2,2/16/2024,4,71.8,760.4,96.2,8.41,8.29,0.13,,pfas_high
N,2,2/16/2024,5,71.6,760.4,94.8,8.3,8.29,0.13,,cd_high
N,2,2/16/2024,6,71.3,760.3,99.4,8.75,8.5,0.12,No Fish ,control
N,2,2/16/2024,7,70.6,760.4,99,8.76,8.51,0.12,,control
N,2,2/16/2024,8,71.2,760.5,98.9,8.7,8.41,0.12,,pfas_high
N,2,2/16/2024,9,71.5,760.3,98.7,8.67,8.47,0.12,,cd_low
