date_arrive,id,treatment,weight,length,condition_num,blood_cat,nlr,blood_sample
2/6/2024,1,cd_low,56.6,165,105,Y,na,na
2/6/2024,2,pfas_low,130.3,216,100,Y,na,na
2/6/2024,3,cd_high,108.1,205,98,Y,na,na
2/6/2024,4,pfas_high,171.3,238,96,Y,na,na
2/6/2024,5,cd_high,139,225,93,Y,na,na
2/6/2024,7,control,55,170,92,Y,na,na
2/6/2024,8,pfas_high,55.4,169,95,Y,na,na
2/6/2024,9,cd_low,39,153,93,Y,na,na
2/6/2024,11,pfas_low,34.9,146,97,Y,na,na
2/6/2024,13,control,114.7,215,89,Y,na,na
2/6/2024,14,cd_low,66.2,182,89,Y,na,na
2/6/2024,15,pfas_low,65.8,184,85,Y,na,na
2/6/2024,6,control,41.7,161,84,Y,na,na
2/6/2024,10,pfas_high,54,170,91,Y,na,na
2/6/2024,12,cd_high,46.7,159,98,Y,na,na
2/8/2024,1,cd_low,52.5,166,95,Y,0.822580645,1
2/8/2024,2,pfas_low,119,215,93,Y,0.905660377,1
2/8/2024,3,cd_high,99,201,96,Y,0.558823529,1
2/8/2024,4,pfas_high,159,241,85,Y,1.016129032,1
2/8/2024,5,cd_high,128.6,225,86,Y,0.514285714,1
2/8/2024,7,control,52,168,91,Y,0.625,1
2/8/2024,8,pfas_high,51.4,165,95,Y,0.527777778,1
2/8/2024,9,cd_low,36.2,152,88,Y,0.436619718,1
2/8/2024,11,pfas_low,32.3,141,100,Y,0.854545455,1
2/8/2024,13,control,104.2,216,80,Y,0.79661017,1
2/8/2024,14,cd_low,60.9,181,83,Y,1.102040816,1
2/8/2024,15,pfas_low,62.9,181,86,Y,1.1,1
2/8/2024,6,control,38.9,151,96,N,1.019230769,1
2/8/2024,10,pfas_high,49.4,166,90,N,0.854545455,1
2/8/2024,12,cd_high,43.6,159,91,N,1.311111111,1
2/19/2024,1,cd_low,51.4,163,99,Y,0.626865672,2
2/19/2024,3,cd_high,93.9,220,68,Y,0.492537313,2
2/19/2024,4,pfas_high,145.6,239,80,Y,5.058823529,2
2/19/2024,5,cd_high,121,222,85,Y,1.318181818,2
2/19/2024,7,control,49.3,165,91,Y,0.924528302,2
2/19/2024,8,pfas_high,47.5,164,90,Y,0.8,2
2/19/2024,9,cd_low,33.5,150,85,Y,0.847457627,2
2/19/2024,11,pfas_low,31.1,144,90,Y,0.53030303,2
2/19/2024,13,control,98.5,214,78,Y,0.683333333,2
2/19/2024,14,cd_low,57.4,178,83,Y,0.887096774,2
2/19/2024,15,pfas_low,58.3,180,81,Y,0.655737705,2
2/20/2024,1,cd_low,50.7,163,98,Y,2.205128205,3
2/20/2024,3,cd_high,98.2,201,95,Y,4.368421053,3
2/20/2024,4,pfas_high,152.8,244,79,Y,6.3125,3
2/20/2024,5,cd_high,120.3,222,84,Y,1.642857143,3
2/20/2024,7,control,49.7,163,96,Y,2.315789474,3
2/20/2024,8,pfas_high,47.5,162,93,Y,1.674418605,3
2/20/2024,9,cd_low,33.9,149,88,Y,1.805555556,3
2/20/2024,11,pfas_low,30,144,87,Y,3.12,3
2/20/2024,13,control,99.5,215,77,Y,1.833333333,3
2/20/2024,14,cd_low,58.3,177,86,Y,2.807692308,3
2/20/2024,15,pfas_low,59.5,181,81,Y,1.615384615,3
2/27/2024,1,cd_low,na,158,na,Y,1.631578947,4
2/27/2024,3,cd_high,na,197,na,Y,1.615384615,4
2/27/2024,4,pfas_high,na,237,na,Y,6.642857143,4
2/27/2024,5,cd_high,na,223,na,Y,1.5,4
2/27/2024,7,control,na,164,na,Y,1.244444444,4
2/27/2024,8,pfas_high,na,163,na,Y,4.882352941,4
2/27/2024,9,cd_low,na,150,na,Y,0.492957747,4
2/27/2024,11,pfas_low,na,142,na,Y,0.68852459,4
2/27/2024,13,control,na,211,na,Y,1.891891892,4
2/27/2024,14,cd_low,na,176,na,Y,1.06,4
2/27/2024,15,pfas_low,na,181,na,Y,0.576923077,4
